user,text,created_at_datetime,link,comments,retweets,quotes,likes,alignment
@Trev_NX,"""Climate change is natural, caused by the Sun:  \nSo-called ""experts"" calling for global government, global taxes, and global control hope that people are too stupid to check out the facts.""",2025-09-12T15:28:00Z,/Trev_NX/status/1966524265512972517#m,0,0,0,1,1
@DASingh8,"""Climate change is caused by natural phenomena. It can be caused by volcanoes, solar cycles, ocean currents, etc. but not by CO2. You have CO2 in your body right now. It is necessary for the survival of the planet.\nOnly brain-dead idiots, like Democrats, think it must be removed.""",2025-09-08T19:19:00Z,/DASingh8/status/1965132948979741036#m,0,0,0,0,1
@greenlenss,"""🌍 What is the GREENHOUSE EFFECT?\nIt’s Earth’s natural heat shield—gases like CO₂ & water vapor trap some of the Sun’s heat, keeping the planet warm & habitable.\n⚠️ But human-caused emissions of these gases intensify the effect → global warming & climate change.\n#ClimateChange""",2025-09-08T14:20:00Z,/greenlenss/status/1965057608236335445#m,1,5,1,8,1
@JimSheehy1,"""I would love to see actual data presented in court that shows that fossil fuels have caused climate change as opposed to the many other natural and cyclical cycles of climate change. Has fossil fuel caused more change than solar cycles, ocean current patterns, volcano eruptions, etc.? Has fossil fuel use provided more benefits than harm? Will the conversion of massive amount of farm and other land for use by solar and wind farms cause more harm than good? What are the lifecycle costs of converting to EVs, solar and wind versus fossil fuels? Which is more costly for consumers, and which can help poor, developing countries better escape poverty? Laws like these that are based on the whims of Democrats in Democrat run states need to be challenged if they are not based on science. Trump’s DOJ Challenges $75B Energy Liability Under NY’s Superfund Act townhall.com/tipsheet/scott-…""",2025-08-31T17:50:00Z,/JimSheehy1/status/1962211319811014712#m,0,0,0,0,2
@shanaka86,"""Climate isn’t man-made or natural … it’s both. Civilizations fall when solar cycles, Bond events, and geomagnetic shifts align. Humans just accelerate the fire. The Sun is the clock, the field is the shield. When they sync, empires vanish. The next cycle is already loading.""",2025-08-26T13:18:00Z,/shanaka86/status/1960330940305260748#m,1,1,0,4,2
@JohannBabtist,"""Exploring the arguments against climate change reveals a range of perspectives, from questions about natural cycles to the reliability of climate models. The scientific community, however, overwhelmingly agrees on the human-caused nature of global warming.""",2025-08-15T22:05:00Z,/JohannBabtist/status/1956477382446969185#m,1,0,0,1,2
@Martyupnorth_2,"""Climate change is caused by the sun, and It's natural.""",2025-08-15T03:41:00Z,/Martyupnorth_2/status/1956199527305896315#m,224,160,17,1487,1
@ViperFergy,"""Climate Change is not caused by Carbon Dioxide (CO2). They just picked CO2 because they could tie it to ""fossil"" fuels because if you control the energy of the world, you control the world. \nClimate changes all the time and the it's controlled by the Sun and other natural events.""",2025-08-13T23:18:00Z,/ViperFergy/status/1955771069412872361#m,1,1,0,13,1
@witchendaswas,"""Reminder, not one single doomsday prediction issued by the climate cult has ever come true. The orbital variations of the sun, plus the earth's orbital shifts around it (The Milankovitch Cycles) fully explain the earth’s natural climate variations. Climate change is a globalist hoax!""",2025-08-12T13:57:00Z,/witchendaswas/status/1955267353861554390#m,1,1,0,4,2
@witchendaswas,"""Reminder, not one single doomsday prediction issued by the climate cult has ever come true. The orbital variations of the sun, plus the earth's orbital shifts around it (The Milankovitch Cycles) fully explain the earth’s natural climate variations. Climate change is a globalist hoax!""",2025-08-09T12:55:00Z,/witchendaswas/status/1954164532047216672#m,0,0,0,0,2
@witchendaswas,"""Reminder, not one single doomsday prediction issued by the climate cult has ever come true. The orbital variations of the sun, plus the earth's orbital shifts around it (The Milankovitch Cycles) fully explain the earth’s natural climate variations. Climate change is a globalist hoax!""",2025-08-07T16:36:00Z,/witchendaswas/status/1953495519113740334#m,0,2,0,5,2
@witchendaswas,"""Reminder, not one single doomsday prediction issued by the climate cult has ever come true. The orbital variations of the sun, plus the earth's orbital shifts around it (The Milankovitch Cycles) fully explain the earth’s natural climate variations. Climate change is a globalist hoax!""",2025-08-07T13:50:00Z,/witchendaswas/status/1953453763844309128#m,0,0,0,1,2
@witchendaswas,"""Reminder, not one single doomsday prediction issued by the climate cult has ever come true. The orbital variations of the sun, plus the earth's orbital shifts around it (The Milankovitch Cycles) fully explain the earth’s natural climate variations. Climate change is a globalist hoax!""",2025-08-07T13:37:00Z,/witchendaswas/status/1953450483936301325#m,0,0,0,0,2
@conviviallygf,"""No one can predict what the climate will do.  But if you want to take a guess you need to look at the sun cycles and the earths magnetic field.  None of that is caused by humans.  Are you really going to fall for this nonsense?""",2025-08-07T10:40:00Z,/conviviallygf/status/1953405836123881808#m,0,0,0,0,1
@witchendaswas,"""Reminder, not one single doomsday prediction issued by the climate cult has ever come true. The orbital variations of the sun, plus the earth's orbital shifts around it (The Milankovitch Cycles) fully explain the earth’s natural climate variations. Climate change is a globalist hoax!""",2025-08-05T13:07:00Z,/witchendaswas/status/1952718081983131981#m,0,0,0,0,2
@witchendaswas,"""Reminder, not one single doomsday prediction issued by the climate cult has ever come true. The orbital variations of the sun, plus the earth's orbital shifts around it (The Milankovitch Cycles) fully explain the earth’s natural climate variations. Climate change is a globalist hoax!""",2025-08-05T12:52:00Z,/witchendaswas/status/1952714316253102151#m,1,1,0,4,2
@witchendaswas,"""Reminder - not one single doomsday prediction of the climate cult has ever come true. The orbital variations of the sun, plus the earth's orbital shifts around it (The Milankovitch Cycles) fully explain the earth’s natural climate variations…""",2025-08-04T14:14:00Z,/witchendaswas/status/1952372489511748035#m,0,1,0,2,1
@witchendaswas,"""Reminder - not a single doomsday prediction of the climate cult has ever come true. The orbital variations of the sun, plus the earth's orbital shifts around it (The Milankovitch Cycles) fully explain the earth’s natural climate variations…""",2025-08-04T13:29:00Z,/witchendaswas/status/1952361273225588791#m,0,1,0,1,1
@Complainany,"""Climate change is not a fake. It is natural behavior.  \n\nIf it was fake it wouldn't have a name, no one would ever know what climate is.  \n\nOn the other hand, climate does change, NOT by CO2 NOT by humans, but through the cycles around the sun and the wobble of the earth.""",2025-08-04T06:22:00Z,/Complainany/status/1952253917678445005#m,0,1,0,0,0
